averageRating	numVotes	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
8,4	1349	tt5335314	movie	One Step Behind the Seraphim	One Step Behind the Seraphim	0	2017	\N	150	Drama
8,0	22	tt5336112	movie	Kopy Kings	Kopy Kings	0	2016	\N	94	Comedy,Romance
7,2	53	tt5336230	movie	Mischievous Kiss the Movie Part 1: High School	Itazurana Kiss Part 1: High School Hen	0	2016	\N	103	Comedy,Drama,Romance
7,7	43	tt5336234	movie	Mischievous Kiss the Movie Part 2: Campus	Itazurana Kiss Part 2: Campus Hen	0	2017	\N	104	Comedy,Drama,Romance
7,2	5	tt5336634	movie	Approach to Love II	Approach to Love II	0	2016	\N	114	Comedy,Drama,Romance
7,7	160	tt5337986	movie	Amok	Amok	0	2016	\N	100	Crime,Drama
7,6	2157	tt5338222	movie	My Tomorrow, Your Yesterday	Boku wa asu, kinou no kimi to dêto suru	0	2016	\N	111	Drama,Romance
8,1	9	tt5338504	movie	Cold Chains, Hard Hearts and Bloody Hands	Cold Chains, Hard Hearts and Bloody Hands	0	2016	\N	92	Western
7,2	6778	tt5340300	movie	Lean on Pete	Lean on Pete	0	2017	\N	121	Adventure,Drama
7,1	808	tt5340534	movie	Express Raja	Express Raja	0	2016	\N	150	Action,Comedy,Romance
7,3	20	tt5340728	movie	Iseng	Iseng	0	2016	\N	100	Drama
7,8	8	tt5341618	movie	Silence the Court is in Session	Silence the Court is in Session	0	2015	\N	105	Drama
7,1	11	tt5342736	movie	Starwatch	Starwatch	0	2017	\N	93	Action,Drama,Sci-Fi
8,2	8	tt5342784	movie	Le Lotta	Le Lotta	0	2017	\N	123	Comedy,Drama
7,7	29	tt5344452	movie	Rangaa Patangaa	Rangaa Patangaa	0	2015	\N	103	Drama
7,3	26	tt5345888	movie	Hutututu: Aavi Ramat Ni Rutu	Hutututu: Aavi Ramat Ni Rutu	0	2016	\N	139	Comedy,Drama
7,4	15	tt5348692	movie	Chaddi Dosth	Chaddi Dosth	0	2013	\N	132	Comedy,Drama
7,4	672	tt5349428	movie	Chakravyuha	Chakravyuha	0	2016	\N	124	Action,Comedy,Thriller
9,4	18004	tt5354160	movie	Aynabaji	Aynabaji	0	2016	\N	147	Crime,Mystery,Thriller
7,9	114	tt5354386	movie	Antes Que Cante El Gallo	Antes Que Cante El Gallo	0	2016	\N	98	Drama
8,4	26	tt5355400	movie	I'm Okay	I'm Okay	0	2016	\N	93	Comedy,Drama
9,0	18	tt5355542	movie	The Great Everything & the Nothing	The Great Everything & the Nothing	0	2016	\N	215	Mystery
7,5	51	tt5359624	movie	Crd	Crd	0	2016	\N	108	Drama,Romance
8,6	24	tt5359928	movie	Our Little Secret	Our Little Secret	0	2017	\N	100	Drama
7,7	150266	tt5362988	movie	Wind River	Wind River	0	2017	\N	107	Crime,Drama,Mystery
7,9	7	tt5364976	movie	Minchagi Nee Baralu	Minchagi Nee Baralu	0	2015	\N	129	Comedy,Drama,Romance
7,9	8	tt5367592	movie	Maki	Maki	0	2018	\N	103	Drama
8,6	36	tt5368224	movie	Naanu Avanalla... Avalu	Naanu Avanalla... Avalu	0	2015	\N	115	Drama
7,2	1204	tt5369484	movie	24 Weeks	24 Wochen	0	2016	\N	103	Drama
7,3	82	tt5369760	movie	The Watchman's Canoe	The Watchman's Canoe	0	2017	\N	101	Drama
7,6	13	tt5370114	movie	Band of Keepers	Band of Keepers	0	2017	\N	93	Adventure
8,6	27	tt5372620	movie	The Bad Man	The Bad Man	0	2018	\N	106	Horror
7,8	6	tt5372696	movie	Teper ya budu lyubyty tebe	Teper ya budu lyubyty tebe	0	2015	\N	93	Comedy,Romance
8,2	5	tt5373160	movie	Nosotros	Nosotros	0	2017	\N	100	Drama
7,5	122	tt5373588	movie	Y a Dios que me perdone!	Y a Dios que me perdone!	0	2017	\N	103	Drama
7,2	858	tt5375324	movie	Anuraga Karikkin Vellam	Anuraga Karikkin Vellam	0	2016	\N	128	Comedy,Family,Romance
7,6	2237	tt5377564	movie	U Turn	U Turn	0	2016	\N	120	Crime,Horror,Mystery
9,1	10	tt5378138	movie	Montre l'exemple!	Montre l'exemple!	0	2012	\N	105	Drama
7,5	8	tt5396888	movie	Chasing Hemingway	Zao yu hai ming wei	0	2015	\N	125	Romance
7,4	7	tt5397202	movie	Chiru	Chiru	0	2010	\N	139	Comedy,Drama
7,5	10	tt5420028	movie	Can't Win. Do Try.	Can't Win. Do Try.	0	2016	\N	123	Comedy,Drama
7,7	6	tt5426266	movie	Il viaggio	Il viaggio	0	2017	\N	96	Comedy
8,5	6	tt5430132	movie	Tea + Cake	Tea + Cake	0	2015	\N	96	Drama
8,0	8	tt5430412	movie	On the Endless Road	On the Endless Road	0	2015	\N	93	Drama
7,1	19	tt5431284	movie	Saint Judy	Saint Judy	0	2018	\N	106	Drama
7,4	56	tt5433276	movie	In Love and War	I krig & kærlighed	0	2018	\N	135	Drama,Romance,War
7,7	44	tt5433442	movie	Jigar Thanda	Jigar Thanda	0	2016	\N	171	Crime,Drama
8,4	14	tt5436698	movie	Kashmir Daily	Kashmir Daily	0	2018	\N	148	Drama,Thriller
8,1	126	tt5439424	movie	Railway Children	Railway Children	0	2016	\N	120	Crime,Drama
8,2	21	tt5439426	movie	The Great Maiden's Blush	The Great Maiden's Blush	0	2016	\N	108	Drama
7,1	15	tt5439560	movie	Priyanka	Priyanka	0	2016	\N	135	Drama,Thriller
7,2	10576	tt5440700	movie	Theri	Theri	0	2016	\N	157	Action,Drama
7,9	1416	tt5451118	movie	303	303	0	2018	\N	145	Comedy,Drama,Romance
7,1	374	tt5456706	movie	Les mauvaises herbes	Les mauvaises herbes	0	2016	\N	105	Comedy,Drama
7,7	9	tt5456782	movie	Call for Fire	Call for Fire	0	2018	\N	102	War
7,6	1468	tt5457840	movie	Krishna Gaadi Veera Prema Gaadha	Krishna Gaadi Veera Prema Gaadha	0	2016	\N	148	Comedy,Romance,Thriller
8,1	2683	tt5458088	movie	Kammatti Paadam	Kammatti Paadam	0	2016	\N	177	Action,Drama
8,2	6	tt5458618	movie	HeartLand Blues	HeartLand Blues	0	2016	\N	141	Drama
7,1	9	tt5458650	movie	Bastion	Bastion	0	2016	\N	106	Drama,Mystery,Thriller
7,5	12	tt5460016	movie	ISIS	ISIS	0	2017	\N	92	Action
7,1	21497	tt5460276	movie	Capable	Kaabil	0	2017	\N	139	Action,Drama,Thriller
7,8	8	tt5460418	movie	Indie Guys	Indie Guys	0	2016	\N	114	Action,Comedy,Drama
8,3	5192	tt5460658	movie	Life+1Day	Abad va yek rooz	0	2016	\N	95	Drama
8,1	35	tt5461134	movie	Kaadu Pookkunna Neram	Kaadu Pookkunna Neram	0	2016	\N	105	Drama
