averageRating	numVotes	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
7,5	29	tt1948319	tvSeries	El Laberinto de Alicia	El Laberinto de Alicia	0	2011	2011	\N	Crime,Drama,Horror
8,1	24	tt1948500	tvSeries	Viral Video Film School	Viral Video Film School	0	2010	\N	30	Comedy
7,6	21	tt1948898	tvSeries	La Doña	La Doña	0	2011	2012	30	Drama
8,1	17	tt1948952	tvSeries	Quiet Desperation	Quiet Desperation	0	2010	2018	\N	Comedy
7,1	4912	tt1949012	tvSeries	The Firm	The Firm	0	2012	2012	60	Action,Crime,Drama
8,4	7	tt1949088	tvSeries	Visionado obligado	Visionado obligado	0	2011	2012	\N	Comedy
9,5	6	tt1949098	tvSeries	Which Way	Which Way	0	2010	\N	8	Drama
7,8	12	tt1949511	tvSeries	A Guy Walks Into a Bar	A Guy Walks Into a Bar	0	2011	\N	15	Comedy
8,1	486	tt1949650	tvSeries	Best of Luck Nikki	Best of Luck Nikki	0	2011	\N	22	Family
7,1	27	tt1949718	tvSeries	Gorilla School	Gorilla School	0	2010	2011	325	Family
8,5	203	tt1949864	tvSeries	Main Abdul Qadir Hoon	Main Abdul Qadir Hoon	0	2010	\N	\N	Drama
7,8	16	tt1949954	tvSeries	Space Ninja	Space Ninja	0	2011	\N	\N	Sci-Fi
8,4	76	tt1949980	tvSeries	The Division	The Division	0	2011	\N	\N	Action,Drama,Thriller
8,0	12	tt1950480	tvSeries	A God Named Pablo	A God Named Pablo	0	2010	\N	\N	Action,Comedy,Fantasy
8,1	59	tt1950693	tvSeries	Lawrence Leung's Unbelievable	Lawrence Leung's Unbelievable	0	2011	2011	\N	Comedy
7,9	17	tt1950714	tvSeries	Matt and Kory Show	Matt and Kory Show	0	2010	\N	4	Comedy
8,2	67	tt1951727	tvSeries	Casters	Casters	0	2011	\N	\N	Comedy
7,7	7	tt1951877	tvSeries	Daily Shenanigans	Daily Shenanigans	0	2011	\N	\N	Comedy
7,2	116	tt1952071	tvSeries	mm!	Emu Emu!	0	2010	\N	\N	Animation,Comedy,Romance
8,6	20	tt1952113	tvSeries	Everyone Wants Theirs	Everyone Wants Theirs	0	2011	\N	\N	Action
7,1	25	tt1952257	tvSeries	Gofrette	Gofrette	0	2007	2008	26	Animation
7,3	6	tt1952454	tvSeries	Jillian: Namamasko po	Jillian: Namamasko po	0	2010	\N	\N	Drama
7,9	23	tt1952594	tvSeries	Lascars	Lascars	0	2012	\N	\N	Comedy
7,4	13	tt1952738	tvSeries	Magic palayok	Magic palayok	0	2011	\N	\N	Comedy,Drama,Romance
