averageRating	numVotes	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
8,9	534884	tt4574334	tvSeries	Stranger Things	Stranger Things	0	2016	\N	51	Drama,Fantasy,Horror
8,3	53935	tt4635276	tvSeries	Master of None	Master of None	0	2015	\N	30	Comedy
8,1	12490	tt4643084	tvSeries	Counterpart	Counterpart	0	2017	\N	60	Drama,Sci-Fi,Thriller
8,1	15961	tt4644488	tvSeries	Dragon Ball Super	Dragon Ball Super: Doragon bôru cho	0	2015	2018	24	Action,Adventure,Animation
8,2	23032	tt4687880	tvSeries	Goliath	Goliath	0	2016	\N	60	Drama
9,2	42362	tt4742876	tvSeries	TVF Pitchers	TVF Pitchers	0	2015	2015	40	Comedy,Drama
8,1	43313	tt4955642	tvSeries	The Good Place	The Good Place	0	2016	\N	22	Comedy,Drama,Fantasy
8,1	16303	tt4998350	tvSeries	The Deuce	The Deuce	0	2017	\N	60	Drama
8,2	20176	tt5011816	tvSeries	Sneaky Pete	Sneaky Pete	0	2015	\N	60	Crime,Drama
8,1	54180	tt5016504	tvSeries	Preacher	Preacher	0	2016	\N	60	Adventure,Drama,Fantasy
8,2	36193	tt5057054	tvSeries	Tom Clancy's Jack Ryan	Jack Ryan	0	2018	\N	60	Action,Drama,Thriller
8,4	91419	tt5071412	tvSeries	Ozark	Ozark	0	2017	\N	60	Crime,Drama,Thriller
8,4	68282	tt5114356	tvSeries	Legion	Legion	0	2017	\N	60	Action,Drama,Sci-Fi
8,6	13606	tt5249462	tvSeries	Erased	Boku dake ga inai machi	0	2016	2016	30	Animation,Drama,Fantasy
8,7	21370	tt5288312	tvSeries	Skam	Skam	0	2015	2017	30	Drama,Romance
8,6	103298	tt5290382	tvSeries	Mindhunter	Mindhunter	0	2017	\N	60	Crime,Drama,Thriller
8,1	12590	tt5348176	tvSeries	Barry	Barry	0	2018	\N	30	Comedy,Crime,Drama
8,2	21227	tt5368542	tvSeries	The Exorcist	The Exorcist	0	2016	2018	45	Drama,Horror,Thriller
8,4	13858	tt5421602	tvSeries	Anne with an E	Anne	0	2017	\N	60	Drama
8,6	12417	tt5425186	tvSeries	Horace and Pete	Horace and Pete	0	2016	2016	67	Comedy,Drama
8,8	67711	tt5555260	tvSeries	This Is Us	This Is Us	0	2016	\N	45	Comedy,Drama,Romance
8,2	15324	tt5574490	tvSeries	Animal Kingdom	Animal Kingdom	0	2016	\N	60	Crime,Drama
8,3	12902	tt5626028	tvSeries	My Hero Academia	Boku no Hero Academia	0	2016	\N	24	Action,Animation,Comedy
8,6	116898	tt5675620	tvSeries	The Punisher	The Punisher	0	2017	\N	53	Action,Adventure,Crime
8,2	11515	tt5687612	tvSeries	Fleabag	Fleabag	0	2016	\N	27	Comedy,Drama
8,6	86066	tt5753856	tvSeries	Dark	Dark	0	2017	\N	60	Crime,Drama,Mystery
8,7	27843	tt5788792	tvSeries	The Marvelous Mrs. Maisel	The Marvelous Mrs. Maisel	0	2017	\N	57	Comedy,Drama
8,6	97966	tt5834204	tvSeries	The Handmaid's Tale	The Handmaid's Tale	0	2017	\N	60	Drama,Sci-Fi
8,4	11538	tt5853176	tvSeries	The Good Fight	The Good Fight	0	2017	\N	45	Crime,Drama
9,0	45927	tt6077448	tvSeries	Sacred Games	Sacred Games	0	2018	\N	50	Action,Crime,Drama
8,2	75627	tt6257970	tvSeries	The End of the F***ing World	The End of the F***ing World	0	2017	\N	25	Adventure,Comedy,Drama
8,4	31073	tt6315640	tvSeries	Atypical	Atypical	0	2017	\N	30	Comedy,Drama
8,4	15542	tt6317068	tvSeries	Final Space	Final Space	0	2018	\N	30	Action,Adventure,Animation
8,6	102624	tt6468322	tvSeries	Money Heist	La casa de papel	0	2017	\N	70	Action,Crime,Mystery
8,3	36521	tt6470478	tvSeries	The Good Doctor	The Good Doctor	0	2017	\N	41	Drama
