averageRating	numVotes	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
7,6	4775	tt5258850	movie	See You Up There	Au revoir là-haut	0	2017	\N	117	Crime,Drama
8,5	3414	tt5271442	movie	Maalik	Maalik	0	2016	\N	155	Action,Crime,Drama
8,4	114515	tt5311514	movie	Your Name.	Kimi no na wa.	0	2016	\N	106	Animation,Drama,Fantasy
9,2	4085	tt5311546	movie	Natsamrat	Natsamrat	0	2016	\N	166	Drama,Family
8,4	8932	tt5312232	movie	Wild	Sairat	0	2016	\N	174	Drama,Romance
7,7	2475	tt5320514	movie	Action Hero Biju	Action Hero Biju	0	2016	\N	144	Action,Comedy,Thriller
8,2	19882	tt5323662	movie	The Shape of Voice	Koe no katachi	0	2016	\N	130	Animation,Drama,Romance
7,8	1912	tt5333612	movie	Actor in Law	Actor in Law	0	2016	\N	116	Comedy,Drama,Romance
7,8	5633	tt5334704	movie	Twin Peaks: The Missing Pieces	Twin Peaks: The Missing Pieces	0	2014	\N	91	Drama,Horror,Mystery
8,4	1363	tt5335314	movie	One Step Behind the Seraphim	One Step Behind the Seraphim	0	2017	\N	150	Drama
7,6	2178	tt5338222	movie	My Tomorrow, Your Yesterday	Boku wa asu, kinou no kimi to dêto suru	0	2016	\N	111	Drama,Romance
9,4	18057	tt5354160	movie	Aynabaji	Aynabaji	0	2016	\N	147	Crime,Mystery,Thriller
7,7	151711	tt5362988	movie	Wind River	Wind River	0	2017	\N	107	Crime,Drama,Mystery
7,6	2246	tt5377564	movie	U Turn	U Turn	0	2016	\N	120	Crime,Horror,Mystery
7,9	1387	tt5451118	movie	303	303	0	2018	\N	145	Comedy,Drama,Romance
7,6	1475	tt5457840	movie	Krishna Gaadi Veera Prema Gaadha	Krishna Gaadi Veera Prema Gaadha	0	2016	\N	148	Comedy,Romance,Thriller
8,1	2695	tt5458088	movie	Kammatti Paadam	Kammatti Paadam	0	2016	\N	177	Action,Drama
8,3	5234	tt5460658	movie	Life+1Day	Abad va yek rooz	0	2016	\N	95	Drama
7,6	96990	tt5462602	movie	The Big Sick	The Big Sick	0	2017	\N	120	Comedy,Drama,Romance
7,8	307579	tt5463162	movie	Deadpool 2	Deadpool 2	0	2018	\N	119	Action,Adventure,Comedy
8,0	2329	tt5466576	movie	BoBoiBoy: The Movie	BoBoiBoy: The Movie	0	2016	\N	100	Action,Animation,Comedy
8,1	2228	tt5477194	movie	Iraivi	Iraivi	0	2016	\N	160	Crime,Drama
8,3	3214	tt5504168	movie	Kshanam	Kshanam	0	2016	\N	110	Thriller
9,1	2763	tt5510934	movie	The Unnamed	Oggatonama	0	2016	\N	100	Drama
8,2	2762	tt5534436	movie	Dhaka Attack	Dhaka Attack	0	2017	\N	147	Action,Thriller
7,7	1914	tt5545674	movie	The Constitution	Ustav Republike Hrvatske	0	2016	\N	93	Comedy,Drama
8,2	2150	tt5559528	movie	Maanagaram	Maanagaram	0	2017	\N	137	Action,Thriller
8,2	30030	tt5571734	movie	Pink	Pink	0	2016	\N	136	Drama
7,6	3749	tt5599692	movie	Clash	Eshtebak	0	2016	\N	97	Drama,Thriller
8,2	3494	tt5600714	movie	Laal Rang	Laal Rang	0	2016	\N	147	Action,Crime,Drama
7,6	17173	tt5607714	movie	On Body and Soul	Teströl és lélekröl	0	2017	\N	116	Drama,Fantasy,Romance
8,6	2304	tt5611648	movie	Joker	Joker	0	2016	\N	130	Comedy,Drama
7,7	15254	tt5635086	movie	God's Own Country	God's Own Country	0	2017	\N	104	Drama,Romance
7,6	63007	tt5649144	movie	The Florida Project	The Florida Project	0	2017	\N	111	Drama
8,9	1042	tt5691226	movie	Pashupati Prasad	Pashupati Prasad	0	2016	\N	140	Drama,Romance
7,6	10456	tt5713232	movie	Madaari	Madaari	0	2016	\N	133	Adventure,Crime,Drama
7,9	133378	tt5726616	movie	Call Me by Your Name	Call Me by Your Name	0	2017	\N	132	Drama,Romance
7,8	15362	tt5764096	movie	Hindi Medium	Hindi Medium	0	2017	\N	132	Comedy,Drama
7,6	1131	tt5784350	movie	Praktan	Praktan	0	2016	\N	142	Comedy,Drama
9,4	98813	tt5813916	movie	The Mountain II	Dag II	0	2016	\N	135	Drama,War
8,3	3545	tt5824826	movie	#Pellichoopulu	#Pellichoopulu	0	2016	\N	125	Comedy,Drama,Romance
7,6	12411	tt5848272	movie	Ralph Breaks the Internet	Ralph Breaks the Internet	0	2018	\N	112	Adventure,Animation,Comedy
8,1	1038	tt5849148	movie	Appa	Appa	0	2016	\N	124	Drama
7,8	1064	tt5857968	movie	Kuttrame Thandanai	Kuttrame Thandanai	0	2016	\N	100	Crime,Drama,Mystery
8,9	7271	tt5867800	movie	Aruvi	Aruvi	0	2016	\N	130	Drama
8,9	1178	tt5870084	movie	Beyond Brotherhood	Mas Que Hermanos	0	2017	\N	110	Drama
8,1	1352	tt5889462	movie	Guppy	Guppy	0	2016	\N	158	Comedy,Drama,Family
8,2	2275	tt5906392	movie	The Mainour and the Witness	Thondimuthalum Dhriksakshiyum	0	2017	\N	135	Crime,Drama,Thriller
7,6	1484	tt5937296	movie	Glory	Slava	0	2016	\N	101	Drama
7,8	1125	tt5944812	movie	Dead Sunrise	Dead Sunrise	0	2017	\N	120	Adventure,Horror,Sci-Fi
7,7	30178	tt5946128	movie	Dear Zindagi	Dear Zindagi	0	2016	\N	151	Drama,Romance
9,1	3667	tt5959980	movie	Vada Chennai	Vada Chennai	0	2018	\N	164	Action,Crime
7,6	4171	tt6002232	movie	Custody	Jusqu'à la garde	0	2017	\N	93	Drama
8,8	2692	tt6019206	movie	Kill Bill: The Whole Bloody Affair	Kill Bill: The Whole Bloody Affair	0	2011	\N	247	Action,Crime,Thriller
8,1	4418	tt6027478	movie	Dhruva	Dhruva	0	2016	\N	165	Action,Thriller
7,6	7307	tt6040012	movie	MSG the Warrior: Lion Heart	MSG the Warrior: Lion Heart	0	2016	\N	120	Adventure,Fantasy,Sci-Fi
8,5	3200	tt6054758	movie	Kirik Party	Kirik Party	0	2016	\N	159	Comedy,Drama
8,2	1533	tt6076366	movie	Aandavan Kattalai	Aandavan Kattalai	0	2016	\N	151	Drama
7,6	3380	tt6129302	movie	Bhavesh Joshi Superhero	Bhavesh Joshi Superhero	0	2018	\N	154	Action,Drama
8,8	15983	tt6148156	movie	Vikram Vedha	Vikram Vedha	0	2017	\N	147	Action,Crime,Thriller
8,6	2453	tt6155172	movie	Roma	Roma	0	2018	\N	135	Drama
8,1	3127	tt6167894	movie	Angamaly Diaries	Angamaly Diaries	0	2017	\N	132	Action,Comedy,Thriller
7,8	1266	tt6168298	movie	One Day	One Day	0	2016	\N	135	Drama,Romance
7,6	6676	tt6206564	movie	Trapped	Trapped	0	2016	\N	105	Action,Drama,Thriller
8,3	2144	tt6212984	movie	Parava	Parava	0	2017	\N	147	Action,Comedy,Drama
8,0	1072	tt6270936	movie	Aramm	Aramm	0	2017	\N	119	Drama
7,7	20884	tt6304162	movie	Loveless	Nelyubov	0	2017	\N	127	Drama
8,3	2986	tt6315524	movie	Take Off	Take Off	0	2017	\N	139	Action,Drama,Thriller
7,6	1523	tt6335734	movie	Night Is Short, Walk On Girl	Yoru wa mijikashi aruke yo otome	0	2017	\N	92	Adventure,Animation,Comedy
8,2	2204	tt6359554	movie	Raajakumara	Raajakumara	0	2017	\N	148	Drama,Family
8,1	1125	tt6366854	movie	Cek Toko Sebelah	Cek Toko Sebelah	0	2016	\N	104	Comedy,Drama,Family
8,5	7492	tt6380520	movie	16 Extremes	Dhuruvangal Pathinaaru	0	2016	\N	105	Action,Crime,Mystery
8,0	1381	tt6386748	movie	Birds of Passage	Pájaros de verano	0	2018	\N	125	Drama
8,7	1536	tt6394430	movie	For Good Old Times	Za ona dobra stara vremena	0	2018	\N	105	Comedy,Drama
7,8	1425	tt6395306	movie	Union Leader	Union Leader	0	2017	\N	106	Drama
7,6	1095	tt6467968	movie	Directions	Posoki	0	2017	\N	103	Drama
7,8	10976	tt6484982	movie	Newton	Newton	0	2017	\N	106	Drama
8,1	21092	tt6485666	movie	Mersal	Mersal	0	2017	\N	172	Action,Thriller
7,8	1527	tt6493286	movie	1987: When the Day Comes	1987	0	2017	\N	129	Drama
7,6	70921	tt6499752	movie	Upgrade	Upgrade	0	2018	\N	100	Action,Sci-Fi,Thriller
8,6	1757	tt6520954	movie	Debi	Debi	0	2018	\N	107	Drama,Mystery
8,5	5967	tt6628102	movie	The Wild Pear Tree	Ahlat Agaci	0	2018	\N	188	Drama
7,6	23095	tt6697582	movie	Arif v 216	Arif v 216	0	2018	\N	125	Comedy,Sci-Fi
7,6	1001	tt6747242	movie	8 Thottakkal	8 Thottakkal	0	2017	\N	145	Thriller
7,6	2287	tt6752992	movie	Lazzaro felice	Lazzaro felice	0	2018	\N	125	Drama
7,7	12209	tt6788942	movie	Bad Genius	Chalard games goeng	0	2017	\N	130	Comedy,Crime,Drama
7,6	1132	tt6822518	movie	Yasamak Güzel Sey	Yasamak Güzel Sey	0	2017	\N	101	Comedy,Drama
7,9	1346	tt6915596	movie	Mayaanadhi	Mayaanadhi	0	2017	\N	136	Drama,Romance
8,1	12214	tt6980546	movie	Bharat Ane Nenu	Bharat Ane Nenu	0	2018	\N	173	Action,Drama
7,6	1644	tt6996016	movie	Ninnu Kori	Ninnu Kori	0	2017	\N	137	Comedy,Romance
7,6	1845	tt7010412	movie	The Great Buddha+	The Great Buddha+	0	2017	\N	102	Drama
7,6	20990	tt7014006	movie	Eighth Grade	Eighth Grade	0	2018	\N	93	Comedy,Drama
9,0	7088	tt7019842	movie	96	96	0	2018	\N	158	Romance
7,7	9244	tt7048622	movie	The Insult	L'insulte	0	2017	\N	112	Drama,Thriller
7,8	1104	tt7059506	movie	Munafik 2	Munafik 2	0	2018	\N	121	Horror
9,0	5764	tt7060344	movie	Ratsasan	Ratsasan	0	2018	\N	170	Action,Drama,Romance
8,4	5242	tt7060460	movie	Braveman - Chapter One	Theeran Adhigaaram Ondru	0	2017	\N	157	Action,Crime,Thriller
7,8	13153	tt7098658	movie	Raazi	Raazi	0	2018	\N	138	Action,Drama,Thriller
7,6	2297	tt7159382	movie	Fidaa	Fidaa	0	2017	\N	144	Drama,Romance
7,8	1970	tt7179784	movie	Iron Curtain	Irumbu Thirai	0	2018	\N	160	Action,Thriller
7,6	2418	tt7190460	movie	Detective	Thupparivaalan	0	2017	\N	151	Action,Crime,Thriller
7,6	1684	tt7213936	movie	What Will People Say	Hva vil folk si	0	2017	\N	106	Drama
7,7	6146	tt7282468	movie	Burning	Beoning	0	2018	\N	148	Drama,Mystery
8,5	12540	tt7294534	movie	Arjun Reddy	Arjun Reddy	0	2017	\N	182	Action,Drama,Romance
7,8	4043	tt7318202	movie	Butterflies	Kelebekler	0	2018	\N	117	Comedy,Drama
7,9	3720	tt7345930	movie	Abrahaminte Santhathikal	Abrahaminte Santhathikal	0	2018	\N	131	Action,Crime,Thriller
